Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
9123ac7d-c716-45c7-ac33-54422fd348b2,2013-06-15 14:01:02,Cycling,,15.38,1:05:50,4:17,14.01,502.0,540,,"","",2013-06-15-140102.gpx
3ed28b98-619f-4a16-a106-ea9cffb6c25b,2013-06-13 18:05:45,Cycling,,16.03,53:28,3:20,17.99,416.0,447,,"","",2013-06-13-180545.gpx
b808ae27-b63d-4001-ae2c-a2112ef6fcb7,2013-06-02 15:05:06,Cycling,,8.06,34:14,4:15,14.12,256.0,376,,"","",2013-06-02-150506.gpx
6f87c991-12b4-467a-8a27-b18bf7f50091,2013-06-01 14:05:51,Cycling,,8.71,36:37,4:12,14.27,278.0,387,,"","",2013-06-01-140551.gpx
76b6768a-29bc-4c38-b6d1-297671ca1e13,2013-05-21 17:09:10,Cycling,,9.32,36:57,3:58,15.13,309.0,377,,"","",2013-05-21-170910.gpx
c5c35df5-c413-45f4-a8da-c9e540a152af,2013-05-20 20:05:46,Cycling,,8.48,33:44,3:59,15.08,278.0,421,,"","",2013-05-20-200546.gpx
9ef510be-9631-4ed3-9888-b8254e2855a5,2012-10-10 17:18:39,Running,,3.76,45:00,11:57,5.02,373.0,10,,"","",2012-10-10-171839.gpx
ea57bd0f-8290-4dd8-bd3c-5129e14abe0c,2012-10-02 08:48:59,Running,,4.10,31:00,7:34,7.93,425.0,21,,"","",2012-10-02-084859.gpx
a10e2b6b-1c07-4ba2-948e-fc60be7fa8f9,2012-09-20 18:20:54,Running,,4.14,32:00,7:43,7.77,428.0,24,,"","good. didn't stop at all",2012-09-20-182054.gpx
d5874ef9-c8f1-421f-83e1-4d7a4cd44e1b,2012-09-18 20:40:49,Running,,3.00,23:40,7:53,7.61,307.0,0,,"","",
992f7d66-a759-4c84-82f9-5e49d1331e53,2012-09-16 12:20:00,Running,,3.10,26:00,8:23,7.15,311.0,0,,"","",
3c95b938-cdf4-4ee4-b392-0950f8bc11de,2012-09-13 23:26:37,Rowing,,1.24,9:40,7:48,7.70,92.0,0,,"","",
f16b8be7-7152-4a9f-aff8-1ba778444bb1,2012-09-13 23:25:45,Running,,3.36,28:00,8:20,7.20,338.0,0,,"","",
94137f23-71db-46ed-a6b4-ca68dfec31d2,2012-09-13 09:55:41,Running,,2.00,20:00,10:00,6.00,204.0,0,,"","",
b9df9208-921c-40ac-bde0-1951aab404a2,2012-09-10 18:53:28,Running,,3.89,32:00,8:14,7.29,393.0,7,,"","",2012-09-10-185328.gpx
2745f975-0a22-4e57-b2f9-5c878c2e2abc,2012-09-06 18:35:15,Running,,3.80,40:00,10:31,5.70,397.0,42,,"","",2012-09-06-183515.gpx
f6d4d8fe-b146-4097-98c6-02f12498adbc,2012-09-05 17:12:45,Cycling,,6.04,40:00,6:37,9.06,163.0,1,,"","",2012-09-05-171245.gpx
81c19b95-e73c-4d39-9b8b-365e62f4e98f,2012-09-02 17:13:21,Running,,3.94,40:00,10:08,5.92,406.0,23,,"","",2012-09-02-171321.gpx
f97ff2a0-1d50-401a-a1ee-02be8e660182,2012-08-31 16:46:39,Running,,3.49,50:43,14:31,4.13,277.0,2,,"","",2012-08-31-164639.gpx
0ae90a0a-0c7d-4d77-a78d-3afe43bfa459,2012-08-29 18:00:00,Running,,2.99,41:57,14:00,4.28,246.0,0,,"","",2012-08-29-180000.gpx
